id	label	area	mean	min	max	perim	length	location
82	SanIgnacio7	0.074	111.42	74.667	178.667	1.918	1.918	SanIgnacio
83	SanIgnacio8	0.098	164.156	90	228.667	2.468	2.468	SanIgnacio
84	SanIgnacio9	0.068	181.241	87.33	228.358	1.795	1.795	SanIgnacio
85	SanIgnacio10	0.074	99.354	44	210	1.983	1.983	SanIgnacio
86	SanIgnacio11	0.075	109.838	73.667	147	1.968	1.968	SanIgnacio
87	SanIgnacio12	0.107	167.578	91.333	242	2.742	2.742	SanIgnacio
88	SanIgnacio13	0.073	153.78	64	241.764	1.856	1.856	SanIgnacio
89	SanIgnacio14	0.089	138.167	47.667	237	2.162	2.162	SanIgnacio
90	SanIgnacio15	0.065	125.562	75.667	228.333	1.641	1.641	SanIgnacio
91	SanFelipe1	0.061	129.521	97.538	152.7	1.667	1.667	SanFelipe
92	SanFelipe2	0.048	133.05	101.851	199.859	1.321	1.321	SanFelipe
93	SanFelipe3	0.046	147.31	112.684	225.24	1.241	1.241	SanFelipe
94	SanFelipe4	0.055	197.511	135.477	254.984	1.491	1.491	SanFelipe
95	SanFelipe5	0.05	145.967	108.349	185.775	1.344	1.344	SanFelipe
96	SanFelipe6	0.057	116.688	75.019	237.83	1.568	1.568	SanFelipe
97	SanFelipe7	0.068	124.104	60.753	253.793	1.868	1.868	SanFelipe
98	SanFelipe8	0.054	137.336	95.861	254.397	1.468	1.468	SanFelipe
99	SanFelipe9	0.065	133.789	106.929	246.998	1.782	1.782	SanFelipe
100	SanFelipe10	0.065	187.935	95.081	249.795	1.792	1.792	SanFelipe
101	SanFelipe11	0.05	135.421	99.445	210.869	1.373	1.373	SanFelipe
102	SanFelipe12	0.047	161.332	117.651	243.012	1.302	1.302	SanFelipe
103	SanFelipe13	0.057	171.433	90.034	249.768	1.579	1.579	SanFelipe
104	SanFelipe14	0.051	123.469	78.751	235.137	1.377	1.377	SanFelipe
105	SanFelipe15	0.055	160.657	111.106	236.841	1.506	1.506	SanFelipe
106	LasLisas1	0.122	167.749	64.667	229.333	3.299	3.299	LasLisas
107	LasLisas2	0.088	149.01	91.06	228.12	2.326	2.326	LasLisas
108	LasLisas3	0.08	153.82	82.83	239.333	2.126	2.126	LasLisas
109	LasLisas4	0.115	113.208	47.343	214.32	3.008	3.008	LasLisas
110	LasLisas5	0.08	163.693	67.333	250.053	2.221	2.221	LasLisas
111	LasLisas6	0.088	120.844	83.8	198.333	2.368	2.368	LasLisas
112	LasLisas7	0.115	124.648	74.68	253.667	3.15	3.15	LasLisas
113	LasLisas8	0.114	122.829	78.88	255	3.085	3.085	LasLisas
114	LasLisas9	0.092	149.938	96.667	255	2.355	2.355	LasLisas
115	LasLisas10	0.117	127.561	73.587	248.998	3.184	3.184	LasLisas
116	LasLisas11	0.093	112.085	75.027	163	2.555	2.555	LasLisas
117	LasLisas12	0.11	147.069	76.333	255	2.834	2.834	LasLisas
118	LasLisas13	0.147	174.421	79.333	255	3.633	3.633	LasLisas
119	LasLisas14	0.11	132.266	78	244	2.873	2.873	LasLisas
120	LasLisas15	0.093	139.871	76.333	224	2.24	2.24	LasLisas
